timestamp,image_file,model_type,labels_detected,confidences,result_summary,required_class,required_cnt,result_status
2025-11-15 10:21:10,img1 - Copy.jpg,LED,2|2|2,0.96|0.96|0.97,9.1ms,1,3,FAIL
2026-03-19 09:51:42,img.jpg,LCD,0,0.91|0.91|0.91|0.91|0.91|0.91|0.91|0.91|0.91|0.91|0.91|0.91|0.91|0.91|0.91|0.91|0.91|0.91|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.90|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.89|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.88|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.87|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.86|0.85|0.85|0.85|0.85|0.85|0.84|0.84|0.84|0.84|0.83|0.83|0.83|0.83|0.83|0.81|0.81|0.80|0.80|0.77|0.59,No summary available,0,224,PASS
2026-03-19 09:52:31,img1 - Copy.jpg,LED,2|2|2,0.96|0.96|0.97,8.0ms,1,3,FAIL
2026-03-19 09:55:28,img1 - Copy.jpg,LED,2|2|2,0.96|0.96|0.97,7.0ms,2,3,PASS
2026-03-19 09:59:45,img1 - Copy.jpg,LED,2|2|2,0.96|0.96|0.97,7.0ms,2,3,PASS
2026-03-19 10:29:18,img1 - Copy.jpg,LED,2|2|2,0.96|0.96|0.97,FAIL: Segment A missing on detected class 2,2,3,PASS
2026-03-19 10:30:42,img1 - Copy.jpg,LED,2|2|2,0.96|0.96|0.97,FAIL: Segment A missing on detected class 2,2,3,FAIL
2026-03-19 11:12:21,img1 - Copy.jpg,LED,2|2|2,0.96|0.96|0.97,FAIL: Segment 'a' missing on class 2 (Brightness: 16.8),2,3,FAIL
2026-03-19 11:13:23,img0.jpg,LED,1|1|1,0.96|0.96|0.97,FAIL: Segment 'b' missing on class 1 (Brightness: 7.2),1,3,FAIL
2026-03-19 11:34:10,img0.jpg,LED,1|1|1,0.96|0.96|0.97,FAIL: Segment 'b' missing on class 1 (Brightness: 7.2),1,3,FAIL
2026-03-19 11:34:26,img0.jpg,LED,1|1|1,0.96|0.96|0.97,FAIL: Segment 'b' missing on class 1 (Brightness: 7.2),2,3,FAIL
2026-03-19 11:40:14,img1 - Copy.jpg,LED,2|2|2,0.96|0.96|0.97,FAIL: Segment 'a' missing on class 2 (Brightness: 16.8),2,3,FAIL
2026-03-19 11:40:46,img1 - Copy.jpg,LED,2|2|2,0.96|0.96|0.97,FAIL: Segment 'a' missing on class 2 (Brightness: 16.8),2,3,FAIL
2026-03-19 11:43:31,img0.jpg,LED,1|1|1,0.96|0.96|0.97,FAIL: Segment 'f' missing on class 1 (Brightness: 25.6),1,3,FAIL
2026-03-19 14:32:56,img0 - Copy.jpg,LED,1,0.82,32.6ms,1,3,FAIL
2026-03-19 14:34:25,img0.jpg,LED,1|1|1,0.96|0.96|0.97,11.2ms,1,3,PASS
2026-03-19 14:34:58,img0.jpg,LED,1|1|1,0.96|0.96|0.97,7.1ms,1,3,PASS
2026-03-19 14:36:46,img1 - Copy.jpg,LED,2|2|2,0.96|0.96|0.97,FAIL: Segment 'a' missing on class 2 (Brightness: 31.2),1,3,FAIL
2026-03-19 15:04:07,img11 - Copy.jpg,LED,5|5|5|5,0.95|0.95|0.96|0.97,"FAIL: Segment 'a' dim/dead. (Score: 40.5, Threshold: 117.7)",1,3,FAIL
2026-03-19 15:04:43,img11 - Copy.jpg,LED,5|5|5|5,0.95|0.95|0.96|0.97,"FAIL: Segment 'a' dim/dead. (Score: 40.5, Threshold: 117.7)",1,3,FAIL
2026-03-19 15:29:23,img11 - Copy.jpg,LED,5|5|5|5,0.95|0.95|0.96|0.97,"Count Mismatch (Expected 3, Got 4) | Class Mismatch (Expected [1], Got [5, 5, 5, 5]) | FAIL: Segment 'a' dim/dead. (Score: 40.5, Threshold: 117.7)",1,3,FAIL
2026-03-19 15:29:55,img11 - Copy.jpg,LED,5|5|5|5,0.95|0.95|0.96|0.97,"FAIL: Segment 'a' dim/dead. (Score: 40.5, Threshold: 117.7)",5,4,FAIL
2026-03-19 15:32:51,img0 - Copy.jpg,LED,1,0.82,"Count Mismatch (Expected 4, Got 1) | Class Mismatch (Expected [5], Got [1])",5,4,FAIL
2026-03-19 15:33:23,img0 - Copy.jpg,LED,1,0.82,"Count Mismatch (Expected 3, Got 1)",1,3,FAIL
2026-03-19 15:34:01,img0.jpg,LED,1|1|1,0.96|0.96|0.97,PASS,1,3,PASS
2026-03-19 15:34:57,img1 - Copy.jpg,LED,2|2|2,0.96|0.96|0.97,"Class Mismatch (Expected [1], Got [2, 2, 2]) | FAIL: Segment 'a' dim/dead. (Score: 31.2, Threshold: 111.7)",1,3,FAIL
2026-03-19 15:35:19,img1 - Copy.jpg,LED,2|2|2,0.96|0.96|0.97,"FAIL: Segment 'a' dim/dead. (Score: 31.2, Threshold: 111.7)",2,3,FAIL
2026-03-19 15:41:10,img0 - Copy.jpg,LED,1,0.82,"Count Mismatch (Expected 3, Got 1)",1,3,FAIL
2026-03-19 15:41:10,img0.jpg,LED,1|1|1,0.96|0.96|0.97,PASS,1,3,PASS
2026-03-19 15:41:10,img1 - Copy.jpg,LED,2|2|2,0.96|0.96|0.97,"FAIL: Segment 'a' dim/dead. (Score: 31.2, Threshold: 111.7)",2,3,FAIL
2026-03-19 15:41:10,img1.jpg,LED,2|2|2,0.98|0.98|0.98,PASS,2,3,PASS
2026-03-19 15:41:10,img10.jpg,LED,2|2|2|2,0.97|0.97|0.97|0.97,"FAIL: Segment 'e' dim/dead. (Score: 112.2, Threshold: 115.4)",2,4,FAIL
2026-03-19 15:41:10,img11 - Copy.jpg,LED,5|5|5|5,0.95|0.95|0.96|0.97,"Count Mismatch (Expected 3, Got 4) | FAIL: Segment 'a' dim/dead. (Score: 40.5, Threshold: 117.7)",5,3,FAIL
2026-03-19 15:41:10,img11.jpg,LED,5|5|5|5,0.97|0.97|0.97|0.98,PASS,5,4,PASS
